business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Notes
CA02,0140104429,COSTCO systems,2020-05-15,2020.0,2960633595.0,2020-05-10,20200510,20200510,2020-05-21,CAD,RV,1.0,,36169.5,20200511.0,CA10,2960633595.0,1,
U001,0200290370,BARGAIN  ,2020-04-25,2020.0,1930738713.0,2020-04-10,20200402,20200410,2020-04-25,USD,RV,1.0,,10785.6,20200410.0,NAA8,1930738713.0,1,
U001,200762301,C&S WH llc,2020-05-19,2020.0,1930857828.0,2020-05-05,20200505,20200505,2020-05-20,USD,RV,1.0,,96706.12,20200505.0,NAC6,1930857828.0,1,
U001,0200769623,WAL-MAR foundation,2020-04-13,2020.0,1930705473.0,2020-03-27,20200326,20200327,2020-04-11,USD,RV,1.0,,8080.37,20200327.0,NAH4,1930705473.0,1,
U001,0100031704,DELHAIZE corp,2020-04-30,2020.0,1930789635.0,2020-04-16,20200415,20200416,2020-05-01,USD,RV,1.0,,72549.37,20200416.0,NAA8,1930789635.0,1,
U001,0200769623,WAL-MAR ,2020-03-25,2020.0,1930612500.0,2020-03-07,20200306,20200307,2020-03-22,USD,RV,1.0,,661.11,20200307.0,NAH4,1930612500.0,1,
U001,0200769623,WAL-MAR trust,2020-05-24,2020.0,1930859124.0,2020-05-06,20200505,20200506,2020-05-21,USD,RV,1.0,,15366.96,20200506.0,NAH4,1930859124.0,1,
U001,0200290370,BARGAIN  ,2020-04-21,2020.0,1930758897.0,2020-04-10,20200407,20200410,2020-04-25,USD,RV,1.0,,4233.6,20200410.0,NAA8,1930758897.0,1,
U001,200772595,SAFEW corp,2020-04-08,2020.0,1930706369.0,2020-03-26,20200326,20200326,2020-04-10,USD,RV,1.0,,36760.54,20200326.0,NAA8,1930706369.0,1,
U001,200794332,COST co,2020-05-21,2020.0,1930857796.0,2020-05-06,20200505,20200506,2020-05-21,USD,RV,1.0,,20617.09,20200506.0,NAAX,1930857796.0,1,
U001,0200769623,WAL-MAR trust,2020-04-14,2020.0,1930705813.0,2020-03-27,20200326,20200327,2020-04-11,USD,RV,1.0,,33914.97,20200327.0,NAH4,1930705813.0,1,
U001,0200781803,JRD foundation,2020-04-23,2020.0,1930738430.0,2020-04-02,20200402,20200402,2020-04-22,USD,RV,1.0,,324.9,20200402.0,NAD1,1930738430.0,1,
U001,0200769623,WAL-MAR corporation,2020-05-16,2020.0,1930827923.0,2020-04-28,20200425,20200428,2020-05-13,USD,RV,1.0,,1368.15,20200428.0,NAH4,1930827923.0,1,
CA02,0140105686,SYSC in,2020-05-04,2020.0,2960629377.0,2020-04-20,20200420,20200420,2020-05-08,CAD,RV,1.0,,234.55,20200428.0,CA10,2960629377.0,1,
U001,0200711029,WEGMAN ,2020-03-21,2020.0,1930620385.0,2020-03-08,20200308,20200308,2020-03-23,USD,RV,1.0,,14109.7,20200308.0,NAA8,1930620385.0,1,
U001,0100031704,DELHAIZE corp,2020-05-06,2020.0,1930812554.0,2020-04-22,20200422,20200422,2020-05-07,USD,RV,1.0,,143738.28,20200422.0,NAA8,1930812554.0,1,
U001,0200936373,SUPE in,2020-04-13,2020.0,1930713640.0,2020-03-30,20200328,20200330,2020-04-14,USD,RV,1.0,,14965.99,20200330.0,NAA8,1930713640.0,1,
U001,0100028409,VIGON  systems,2020-05-09,2020.0,1930838556.0,2020-04-29,20200429,20200429,2020-05-09,USD,RV,1.0,,31792.6,20200429.0,NA10,1930838556.0,1,
U001,0200769623,WAL-MAR corp,2020-04-09,2020.0,1930676124.0,2020-03-23,20200320,20200323,2020-04-07,USD,RV,1.0,,14446.55,20200323.0,NAH4,1930676124.0,1,
U001,0200783609,PROFIC corp,2020-04-21,2020.0,1930638061.0,2020-03-17,20200311,20200317,2020-04-18,USD,RV,1.0,,16101.4,20200317.0,NA32,1930638061.0,1,
U001,200772595,SAFEW ,2020-05-17,2020.0,1930853082.0,2020-05-03,20200503,20200503,2020-05-18,USD,RV,1.0,,119577.59,20200503.0,NAA8,1930853082.0,1,
U001,0200799367,MCL trust,2020-03-08,2020.0,1930567110.0,2020-02-28,20200225,20200228,2020-03-14,USD,RV,1.0,,10259.22,20200228.0,NAA8,1930567110.0,1,
U001,0200792734,MDV/ corp,2020-03-18,2020.0,1930612509.0,2020-03-06,20200306,20200306,2020-03-21,USD,RV,1.0,,55489.9,20200306.0,NAA8,1930612509.0,1,
CA02,0140104340,COLABOR  associates,2020-04-05,2020.0,2960624519.0,2020-03-28,20200328,20200328,2020-04-09,CAD,RV,1.0,,14737.2,20200330.0,CA10,2960624519.0,1,
U001,200387798,AR associates,2020-05-24,2020.0,1930748923.0,2020-04-04,20200404,20200404,2020-05-19,USD,RV,1.0,,2314.44,20200404.0,NABG,1930748923.0,1,
U001,0200769623,WAL-MAR associates,2020-04-08,2020.0,1930682881.0,2020-03-21,20200321,20200321,2020-04-05,USD,RV,1.0,,62240.41,20200321.0,NAH4,1930682881.0,1,
U001,0200759878,SA corp,2020-04-28,2020.0,1930606025.0,2020-03-05,20200305,20200305,2020-04-19,USD,RV,1.0,,79869.23,20200305.0,NAWP,1930606025.0,1,
U001,0200455322,PEA foundation,2020-04-12,2020.0,1930675414.0,2020-03-19,20200320,20200319,2020-04-18,USD,RV,1.0,,40457.86,20200319.0,NAD5,1930675414.0,1,
U001,200769623,WAL-MAR ,2020-05-28,2020.0,1930877338.0,2020-05-08,20200507,20200508,2020-05-23,USD,RV,1.0,,41104.17,20200508.0,NAH4,1930877338.0,1,
U001,0200762301,C&S WH foundation,2020-04-11,2020.0,1930698117.0,2020-03-26,20200325,20200326,2020-04-10,USD,RV,1.0,,22972.78,20200326.0,NAC6,1930698117.0,1,
U001,0200769623,WAL-MAR trust,2020-04-12,2020.0,1930690370.0,2020-03-24,20200324,20200324,2020-04-08,USD,RV,1.0,,91.93,20200324.0,NAH4,1930690370.0,1,
U001,0200275115,SHAWS  llc,2020-04-15,2020.0,1930719017.0,2020-03-31,20200329,20200331,2020-04-15,USD,RV,1.0,,76283.34,20200331.0,NAA8,1930719017.0,1,
U001,0200769623,WAL-MAR llc,2020-05-10,2020.0,1930829681.0,2020-04-27,20200427,20200427,2020-05-12,USD,RV,1.0,,1914.75,20200427.0,NAH4,1930829681.0,1,
U001,0200466603,SMITH'S llc,2020-05-18,2020.0,1930855506.0,2020-05-05,20200503,20200505,2020-05-20,USD,RV,1.0,,53938.68,20200505.0,NAA8,1930855506.0,1,
U001,0200744019,TARG associates,2020-03-23,2020.0,1930629959.0,2020-03-11,20200310,20200311,2020-03-26,USD,RV,1.0,,5537.07,20200311.0,NAA8,1930629959.0,1,
U001,0200769623,WAL-MAR us,2020-03-31,2020.0,1930646344.0,2020-03-12,20200312,20200312,2020-03-27,USD,RV,1.0,,31646.59,20200312.0,NAH4,1930646344.0,1,
U001,0200772670,ASSOCIAT ,2020-05-06,2020.0,1930616909.0,2020-03-06,20200306,20200306,2020-05-10,USD,RV,1.0,,732.24,20200306.0,NAGD,1930616909.0,1,
U001,0200762301,C&S WH in,2020-05-20,2020.0,1930862303.0,2020-05-06,20200506,20200506,2020-05-21,USD,RV,1.0,,108695.06,20200506.0,NAC6,1930862303.0,1,
U001,0200769623,WAL-MAR in,2020-03-26,2020.0,1930619208.0,2020-03-07,20200307,20200307,2020-03-22,USD,RV,1.0,,1898.9,20200307.0,NAH4,1930619208.0,1,
U001,0100006311,QUALITY C foundation,2020-05-09,2020.0,1930825396.0,2020-04-25,20200425,20200425,2020-05-10,USD,RV,1.0,,20175.8,20200425.0,NAA8,1930825396.0,1,
U001,200772670,ASSOCIAT corporation,2020-03-31,2020.0,1930678564.0,2020-03-21,20200320,20200321,2020-04-05,USD,RV,1.0,,17865.61,20200321.0,NAU5,1930678564.0,1,
U001,0200769623,WAL-MAR co,2020-04-13,2020.0,1930688263.0,2020-03-25,20200323,20200325,2020-04-09,USD,RV,1.0,,44439.55,20200325.0,NAH4,1930688263.0,1,
U001,0200769623,WAL-MAR ,2020-04-04,2020.0,1930660308.0,2020-03-18,20200317,20200318,2020-04-02,USD,RV,1.0,,8949.7,20200318.0,NAH4,1930660308.0,1,
U001,0200769623,WAL-MAR corp,2020-03-31,2020.0,1930646258.0,2020-03-13,20200313,20200313,2020-03-28,USD,RV,1.0,,935.7,20200313.0,NAH4,1930646258.0,1,
U001,0200723794,MID MO llc,2020-04-21,2020.0,1930754232.0,2020-04-06,20200406,20200406,2020-04-21,USD,RV,1.0,,156009.99,20200406.0,NAA8,1930754232.0,1,
U001,0200761734,H E BUT systems,2020-03-28,2020.0,1930669580.0,2020-03-19,20200318,20200319,2020-04-03,USD,RV,1.0,,10844.87,20200319.0,NAA8,1930669580.0,1,
U013,0100024102,FELI in,2020-04-12,2020.0,1991840433.0,2020-03-16,20200312,20200316,2020-04-15,USD,RV,1.0,,21261.4,20200316.0,NAVE,1991840433.0,1,
U001,0200769623,WAL-MAR corporation,2020-03-28,2020.0,1930621466.0,2020-03-09,20200307,20200309,2020-03-24,USD,RV,1.0,,32525.73,20200309.0,NAH4,1930621466.0,1,
U001,0200769623,WAL-MAR corp,2020-03-29,2020.0,1930629441.0,2020-03-11,20200310,20200311,2020-03-26,USD,RV,1.0,,41415.35,20200311.0,NAH4,1930629441.0,1,
U001,0200769623,WAL-MAR llc,2020-03-31,2020.0,1930653291.0,2020-03-17,20200316,20200317,2020-04-01,USD,RV,1.0,,177.78,20200317.0,NAH4,1930653291.0,1,
U001,0200769623,WAL-MAR corporation,2020-03-22,2020.0,1930593195.0,2020-03-04,20200303,20200304,2020-03-19,USD,RV,1.0,,20637.48,20200304.0,NAH4,1930593195.0,1,
U001,0200769623,WAL-MAR trust,2020-05-09,2020.0,1930814111.0,2020-04-21,20200422,20200421,2020-05-06,USD,RV,1.0,,29554.51,20200421.0,NAH4,1930814111.0,1,
U001,0200794332,COST trust,2020-04-18,2020.0,1930731999.0,2020-04-04,20200402,20200404,2020-04-19,USD,RV,1.0,,34676.16,20200404.0,NAAX,1930731999.0,1,
U001,0200794332,COST us,2020-04-10,2020.0,1930690860.0,2020-03-25,20200324,20200325,2020-04-09,USD,RV,1.0,,20557.14,20200325.0,NAAX,1930690860.0,1,
U002,0200501669,WAL MA corporation,2020-04-11,2020.0,1990571536.0,2020-03-11,20200309,20200311,2020-04-15,USD,RV,1.0,,17380.92,20200311.0,NAG2,1990571536.0,1,
U001,0200769623,WAL-MAR corporation,2020-05-28,2020.0,1930874574.0,2020-05-08,20200507,20200508,2020-05-23,USD,RV,1.0,,40066.54,20200508.0,NAH4,1930874574.0,1,
CA02,0140106408,WAL-M corp,2020-04-07,2020.0,2960626781.0,2020-04-06,20200406,20200406,2020-04-16,CAD,RV,1.0,,77475.79,20200406.0,CA10,2960626781.0,1,
U001,0200769623,WAL-MAR associates,2020-04-03,2020.0,1930662010.0,2020-03-17,20200317,20200317,2020-04-01,USD,RV,1.0,,4855.49,20200317.0,NAH4,1930662010.0,1,
U001,200769623,WAL-MAR ,2020-04-04,2020.0,1930651858.0,2020-03-15,20200314,20200315,2020-03-30,USD,RV,1.0,,10243.84,20200315.0,NAH4,1930651858.0,1,
U001,200794332,COST co,2020-05-22,2020.0,1930870540.0,2020-05-07,20200506,20200507,2020-05-22,USD,RV,1.0,,8522.63,20200507.0,NAAX,1930870540.0,1,
U001,0200759082,INGL corporation,2020-04-03,2020.0,1930681982.0,2020-03-20,20200321,20200320,2020-04-04,USD,RV,1.0,,112375.07,20200320.0,NAA8,1930681982.0,1,
U001,0200726979,BJ'S  associates,2020-03-16,2020.0,1930584422.0,2020-03-01,20200229,20200301,2020-03-16,USD,RV,1.0,,267.02,20200301.0,NAA8,1930584422.0,1,
U001,0200747369,SCHNU in,2020-04-03,2020.0,1930673501.0,2020-03-20,20200319,20200320,2020-04-04,USD,RV,1.0,,115736.76,20200320.0,NAA8,1930673501.0,1,
U001,0200769623,WAL-MAR in,2020-04-24,2020.0,1930749936.0,2020-04-05,20200404,20200405,2020-04-20,USD,RV,1.0,,6686.3,20200405.0,NAH4,1930749936.0,1,
